Entitate,Nr_proiecte_finantate,Abreviere,Attribute_tip_institutie_original,Reg_dezvoltare,Pr_instit_coordonatoare,Pr_instit_total,merge1_degree,Eigenvcentral_gephi,Closeness_central_gephi,Beetweeness_gephi,Weighteddegree_Gephi,Authority
UNIVERSITATEA DIN CRAIOVA,1,UCV,Universitate publică,Sud+Centru,4,17,72,0.849574408921921,0.607476635514018,1593.7430967835,111,0.18621778
UNIVERSITATEA BUCURESTI,8,UB,Universitate publică,Bucuresti-Ilfov,10,30,80,0.9374238472034,0.629032258064516,1544.21277596289,176,0.20596473
UNIVERSITATEA NAȚIONALĂ DE ȘTIINȚĂ ȘI TEHNOLOGIE POLITEHNICA BUCUREȘTI,3,UPB,Universitate publică,Bucuresti-Ilfov,10,27,83,1.0,0.631067961165048,1403.99394431074,181,0.21987227
UNIVERSITATEA BABES BOLYAI,9,UBB,Universitate publică,Nord-Vest,8,25,70,0.844236129774032,0.607476635514018,1069.4778072513,147,0.18565258
"UNIVERSITATEA ""ŞTEFAN CEL MARE"" DIN SUCEAVA",1,USV,Universitate publică,Nord-Est,0,13,58,0.688304476587244,0.580357142857142,993.444488626775,82,0.15025151
UNIVERSITATEA TEHNICA DIN CLUJ - NAPOCA,4,UTCN,Universitate publică,Nord-Vest,2,15,68,0.85119454793511,0.605590062111801,944.871302450536,112,0.18713903
UNIVERSITATEA OVIDIUS,2,UOC,Universitate publică,Sud+Centru,0,11,54,0.639739963350712,0.571847507331378,881.203951477299,72,0.14001077
UNIVERSITATEA TRANSILVANIA BRASOV,4,UNITBV,Universitate publică,Sud+Centru,1,18,62,0.81021756858175,0.594512195121951,849.964701513124,107,0.17828146
UNIVERSITATEA DE STIINTE AGRONOMICE SI MEDICINA VETERINARA,3,USAMV,Universitate publică,Bucuresti-Ilfov,4,10,51,0.661319987053226,0.565217391304347,690.703340626943,64,0.14500634
INSTITUTUL NATIONAL DE CERCETARE - DEZVOLTARE PENTRU FIZICA MATERIALELOR BUCURESTI RA,6,INFIM,Institut de cercetare,Bucuresti-Ilfov,3,15,56,0.695926687480019,0.560344827586206,661.002420883349,96,0.15291496
INSTITUTUL NATIONAL DE CERCETARE DEZVOLTARE PENTRU TEHNOLOGII IZOTOPICE SI MOLECULARE I N C D T I M,3,I N C D T I M,Institut de cercetare INCD,Nord-Vest,2,10,49,0.607717330407964,0.550847457627118,645.613299219125,64,0.13318895
"INSTITUTUL DE CHIMIE MACROMOLECULARA ""PETRU PONI""",2,ICMPP,Academia Română,Nord-Est,2,10,49,0.611937872383875,0.566860465116279,632.840496963581,62,0.13383718
ACADEMIA DE STUDII ECONOMICE,2,ASE,Universitate publică,Bucuresti-Ilfov,6,17,62,0.840193658902798,0.594512195121951,590.762101363304,118,0.18541433
INSTITUTUL NATIONAL DE CERCETARE- DEZVOLTARE PENTRU MICROTEHNOLOGIE - IMT BUCURESTI INCD,2,IMT INCD,Institut de cercetare INCD,Bucuresti-Ilfov,4,9,45,0.535903358175415,0.547752808988764,510.651522423684,63,0.117079385
UNIVERSITATEA DE VEST TIMISOARA,5,UVT,Universitate publică,Vest,2,19,54,0.752755198562673,0.575221238938053,494.19296736555,116,0.16595371
"UNIVERSITATEA DE MEDICINA SI FARMACIE ""CAROL DAVILA""",2,UMFCD,Universitate publică,Bucuresti-Ilfov,1,9,43,0.603996016919549,0.560344827586206,422.966636526747,59,0.13290751
"UNIVERSITATEA TEHNICĂ ""GHEORGHE ASACHI"" IAŞI",3,TUI,Universitate publică,Nord-Est,2,13,53,0.710420880706625,0.568513119533527,403.453996500972,93,0.15655819
"UNIVERSITATEA ""ALEXANDRU IOAN CUZA"" IASI",2,UAIC,Universitate publică,Nord-Est,2,20,60,0.82243942221569,0.585585585585585,394.427328226996,134,0.1816203
UNIVERSITATEA POLITEHNICA TIMIŞOARA,3,UPT,Universitate publică,Vest,2,14,50,0.703127210834372,0.568513119533527,392.499917187999,92,0.15496552
"UNIVERSITATEA DE MEDICINA, FARMACIE, STIINTE SI TEHNOLOGIE ""GEORGE EMIL PALADE"" DIN TARGU MURES",1,UMFST,Universitate publică,Sud+Centru,2,8,39,0.52473119279478,0.540166204986149,386.012760428334,49,0.11539376
ACADEMIA ROMÂNĂ - FILIALA IAŞI,1,ACADIASI,Academia Română,Nord-Est,1,6,43,0.563570567082939,0.550847457627118,374.27859190589,54,0.12353464
INSTITUTUL NATIONAL DE CERCETARE - DEZVOLTARE IN INFORMATICA - ICI BUCURESTI,0,ICI,Institut de cercetare,Bucuresti-Ilfov,0,7,36,0.45278535613897,0.522788203753351,350.437909273951,43,0.09898004
SPITALUL CLINIC DE URGENTA,1,SCUB,Spital de stat,Bucuresti-Ilfov,0,3,26,0.319178750632038,0.4875,338.408778604485,27,0.069846295
"INSTITUTUL NAŢIONAL DE CERCETARE-DEZVOLTARE ""DELTA DUNĂRII""-I.N.C.D.D.D. TULCEA",0,INCDDD,Institut de cercetare INCD,Sud+Centru,0,6,34,0.433360420028311,0.527027027027027,303.093938892037,41,0.09508625
INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU OPTOELECTRONICA INOE 2000 INCD,1,INOE 2000,Institut de cercetare INCD,Bucuresti-Ilfov,2,9,36,0.487788395132017,0.534246575342465,286.820985767773,54,0.10744993
"UNIVERSITATEA DE MEDICINA SI FARMACIE ""GRIGORE T. POPA"" DIN IAŞI",2,UMF IASI,Universitate publică,Nord-Est,1,7,40,0.549458573676347,0.546218487394957,247.457077106902,50,0.1209838
INSTITUTUL DE GEOGRAFIE,1,GEOINST,Academia Română,Bucuresti-Ilfov,0,4,35,0.436145737171932,0.52139037433155,242.322675736301,38,0.09539637
UNIVERSITATEA 1 DECEMBRIE 1918 ALBA IULIA,0,UAB,Universitate publică,Sud+Centru,0,6,28,0.393134761420373,0.517241379310344,203.296239318623,36,0.086074166
"INSTITUTUL NATIONAL DE CERCETARE DEZVOLTARE PENTRU FIZICA LASERILOR, PLASMEI SI RADIATIEI - INFLPR RA",3,INFLPR,Institut de cercetare INCD,Bucuresti-Ilfov,1,9,30,0.376732333911794,0.5078125,202.125441658215,50,0.08239332
"INSTITUTUL NATIONAL DE CERCETARE - DEZVOLTARE PENTRU FIZICA SI INGINERIE NUCLEARA "" HORIA HULUBEI "" - IFIN - HH",2,IFIN - HH,Institut de cercetare INCD,Bucuresti-Ilfov,2,9,33,0.455317348499347,0.517241379310344,193.573968197612,51,0.10024899
"INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE AEROSPATIALA ""ELIE CARAFOLI"" - I.N.C.A.S. BUCURESTI",1,INCAS,Institut de cercetare INCD,Bucuresti-Ilfov,2,6,27,0.353339499937509,0.503875968992248,182.951640495161,34,0.07766793
INSTITUTUL DE CHIMIE FIZICA - ILIE MURGULESCU,0,ICF,Academia Română,Bucuresti-Ilfov,1,5,21,0.308437471703259,0.505181347150259,175.268257508791,25,0.06771591
"UNIVERSITATEA DE ŞTIINTELE VIEŢII "" REGELE MIHAI I "" DIN TIMIŞOARA",0,USAB,Universitate publică,Vest,1,6,29,0.38083778032693,0.515873015873015,168.612559999622,36,0.08347794
"INSTITUTUL DE MATEMATICA ""SIMION STOILOW"" AL ACADEMIEI ROMANE",0,IMAR,Academia Română,Bucuresti-Ilfov,0,3,18,0.274233092751204,0.4875,163.974924980828,19,0.059966814
UNIVERSITATEA DE MEDICINA SI FARMACIE CRAIOVA,1,UMFCV,Universitate publică,Sud+Centru,1,3,20,0.217740181512814,0.472154963680387,163.883908817901,22,0.04713338
ACADEMIA ROMANA FILIALA CLUJ,2,ACADCJ,Academia Română,Nord-Vest,0,4,30,0.344898945670763,0.503875968992248,162.265451856732,33,0.07474408
"UNIVERSITATEA DE MEDICINA SI FARMACIE "" VICTOR BABES "" TIMISOARA",0,UMFT,Universitate publică,Vest,0,4,24,0.277850070610993,0.4875,161.223576788797,26,0.060356203
